help_cat,help_type,loc,loc_extra,nums,per,text,tid,time
NOT_COVID,OXYGEN_BED,['kolkata'],['kolkata'],['6290081869'],[],Covid Resources Bengal DISTRICTNAME-KOLKATA AREAOF THE SUPPLIER-BAGHAJATIN SUPPLIER'SNAME- ANUKULPHARMACY SUPPLIERS CONTACT-6290081869 DATE AND TIMEOF VERIFICATION: 14/05/2021AT 9:58M AVAILABILITY STATUS: FRESHCYLINDER- YES(FORRENT) REFILLING- YES AREACOVERED-BAGHAJATINSTATION ADDITIONALINFO- RS AVAILABLEFOR RENT FOR MAX SDAYS WITHIN A 3KMRADIUS AROUN @covidresourcesbengal ,xxxx,2021-05-14T15:49:13.369629

NOT_COVID,BLOOD,['kolkata'],['kolkata'],['6290062623'],[],Covid Resources Bengal DISTRICT NAME-KOLKATA AREAOF THE SUPPLIER- BALLYGUNGE SUPPLIER'S NAME-KPGAS (THEY RENOT THEDIRECT SUPPLIER) SUPPLIERS CONTACT-6290062623 DATEAND TIME OF VERIFICATION: :14/05/2021AT 9:55AM AVAILABILITY STATUS: ~ FRESHCYLINDER- YES __REFILLING-NO -A COVERED -BALLYGUNGE (Q- PATIENT SFAMILY HAS TOPICKIT UP @covidresourcesbengal ,xxxx,2021-05-14T15:49:16.202852

NOT_COVID,OXYGEN,"['kolkata', 'kalindi', 'kalinidi']","['kolkata', 'kalindi', 'kalinidi']",['7001029440'],[],"Covid Resources Bengal DISTRICT NAME-KOLKATA AREA OF THE SUPPLIER-KALINDI SUPPLIER'SNAME-PRANABANDA MEDICAL HALL SUPPLIERS CONTACT- 7001029440 DATE AND TIME OF VERIFICATION: 14/05/2021 AT 10:04M AVAILABILITY STATUS: FRESHCYLINDER- YES (ONLY FOREXTREME EMERGENCY: FORRENT) REFILLING- YES AREACOVERED-KALINIDI,LAKE TOWN ADDITIONAL INFO- ICYLINDERS AVAILABLEFORRENT FORMAX 5 DAYSINLAKE TOWNFOREXTREMEEMERGENCY SCE? @covidresourcesbenaa (wcovidresourcespengal ",xxxx,2021-05-14T15:49:18.519833

NOT_COVID,OXYGEN,"['kolkata', 'lake gardens']","['kolkata', 'lake gardens']",['8240137935'],[],"9 KOLKATA VID RE RCES BENGA District Name: Kolkata Area of the Supplier: Lake Gardens Supplier's Name: NGO Supplier's Contact: 8240137935 Date & Time of verification: May 14 , 2:35pm Availability Status: Fresh Cylinder- NO Refilling-YES Area Covered- South Kolkata Additional info:;Oxygen on Wheels� will be on road within few weeks. Temporary Oxygen Cans can be arranged if prior informed. (jie; ",xxxx,2021-05-14T15:49:20.684990

NOT_COVID,OXYGEN,"['kolkata', 'baghajatin', 'baghajatin', 'eehieheselice']","['kolkata', 'baghajatin', 'baghajatin', 'eehieheselice']",['6290081869'],[],"District Name: Kolkata Area of the Supplier: Baghajatin Supplier's name: Anukul Pramanik Contact: 6290081869 Date and time of verification: 14 May 2021, 2:52 pm Availability Status: Fresh Cylinder- YES (For RENT for 5 days) Refilling- NO Area Covered- Baghajatin and 1-2 km around it (@eehieheselice ss scuerlt ",xxxx,2021-05-14T15:49:22.406881

